Gamers:,,,,farley3k,troubleshot,Clusks,Tanglebones,Aaron D.,BlackSabre,cheeba,walterqchocobo,doubtingthomas396,Zoso1701,Maq,Mr GT Chris,TheGameguru,Infyrnos,Farscry,WizardM0de,b12n11w00t,Mantid,plavonica,Garrcia,cube,MilkmanDanimal,Jonman,muraii,pyxistyx,PandaEskimo,CptDomano,JohnKillo,conejote,Taylor Wayne,dejanzie,Higgledy,krev82,Stengah,Dryden,Demyx,Mex,scrub,Vrikk,Granath,Cobble,PurEvil,DSGamer,ChrisLTD,Nevin73,zeroKFE,Glycerine,carrotpanic,TempestBlayze,UpToIsomorphism,tboon,ClockworkHouse,Squee9,Tscott,Running Man,Hyetal,BadKen,iaintgotnopants,IHateDRM,AcidCat,SocialChameleon,Malor,Aristophan,Carlbear95,ThingumBob,Evo,Roo,kyrieee,Jake2034,billt721,TheHarpoMarxist,Bnice,MrDeVil909,Shadout,Jayhawker,chooka1,Latrine,EverythingsTentative,sometimesdee,mateofalcone,kuddles,philucifer,bombsfall,mrtomaytohead,cheeze_pavilion,Kosars,Duoae,Eleima,nel e nel,Vector,kergguz,Fastmav347,Luggage,Budo,Slumberland,schutter31,ccesarano,Deadmonkeys,tuffalobuffalo,Dyni,Alien Love Gardener,4dSwissCheese,Mermaidpirate,danopian,Fedaykin98,badchicken,Minarchist,Ego Man,MeatMan,shoptroll,garion333,cyrax,Le0hart85,Spikeout,OzymandiasAV,RnRClown,clever id,Gunner,Blind_Evil,RooksGambit,groovebeat,TrashiDawa,demonbox,jdzappa,Cathadan,Gravey
Title,Weighted Score,Total Votes,#1 Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betrayer,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binding of Isaac/Rebirth,66,11,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,4,,1,,,,,,,,,,,,,,7,,,,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,
Bioshock,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
Bioshock Infinite/DLC,25,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,9,,,9,,,,,,,,10,10,,,,,5,,,,,,,,,,,,9,,,,,,,,,,6,,,,,8,
Bit.Trip Presents Runner 2: Future Legend of Rhythm Alien,16,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwell Epiphany,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
"Blackwell Legacy, The",1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwell Unbound,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Book of Unwritten Tales: Critter Chronicles,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot Hill Heroes,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borderlands 2/DLC,20,3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borderlands The Pre-Sequel,30,5,0,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
