Rank,Title,Score,Total Votes,#1 Votes,Average Score
365,Dreamfall Chapters,3,1,0,3
366,Templar Battleforce,3,1,0,3
367,Bayonetta,3,1,0,3
368,Tales from the Borderlands,3,1,0,3
369,The Blackwell Legacy,3,1,0,3
370,Neko Atsume,3,1,0,3
371,Super Metroid,3,1,0,3
372,Rise of Nations,3,1,0,3
373,Wonderful 101,3,1,0,3
374,The Swapper,3,1,0,3
375,Metal Gear Solid V: Ground Zeroes,3,1,0,3
376,Hyperdimension Neptunia Re;Birth1,3,1,0,3
377,Grim Fandango: Remastered,3,1,0,3
378,Batman: Arkham Origins,3,1,0,3
379,Stretchmo,3,1,0,3
380,Grim Dawn,3,1,0,3
381,The Misadventures of Tron Bonne,2,1,0,2
382,Assassin's Creed: Unity,2,1,0,2
383,The Yawhg,2,1,0,2
384,I Am Bread,2,1,0,2
385,Shooty Skies,2,2,0,1
386,Thea: The Awakening,2,1,0,2
387,Game of Thrones,2,1,0,2
388,Shadow of the Colossus,2,1,0,2
389,Apotheon,2,1,0,2
390,Flywrench,2,1,0,2
391,Rock Band 4,2,1,0,2
392,Assault Android Cactus,2,1,0,2
393,Bravely Default,2,1,0,2
394,Amazing Princess Sarah,2,1,0,2
395,Crimsonland,2,1,0,2
396,Sly Collection,2,1,0,2
397,One Way Heroics,2,1,0,2
398,Thomas was alone,2,1,0,2
399,Evolve,2,1,0,2
400,Animal Crossing: Happy Home Designer,2,1,0,2
401,Warhammer: End Times - Vermintide,2,1,0,2
402,Mirror's Edge,2,1,0,2
403,Spintires,2,1,0,2
404,Command: Modern Air/Naval Operations,2,1,0,2
405,Disney Infinity,1,1,0,1
406,OlliOlli 2,1,1,0,1
407,The Legend of Legacy,1,1,0,1
408,Xeodrifter,1,1,0,1
409,Door Kickers,1,1,0,1
410,The Room III,1,1,0,1
411,Enslaved: Odyssey to the West,1,1,0,1
412,Legend of Grimrock,1,1,0,1
413,Bulletstorm,1,1,0,1
414,Papo & Yo,1,1,0,1
415,Animal Gods,1,1,0,1
416,Hohokum,1,1,0,1
417,1 Finger Death Punch,1,1,0,1
418,Knight Squad,1,1,0,1
419,Circuits,1,1,0,1
420,Tomb Raider,1,1,0,1
421,Sword Art Online,1,1,0,1
422,Survarium,1,1,0,1
423,Etrian Mystery Dungeon,1,1,0,1
424,Infested Planet,1,1,0,1
425,Sly Cooper: Thieves in Time,1,1,0,1
426,Broken Age,1,1,0,1
427,A Beginner’s Guide,1,1,0,1
428,Mafia 2,1,1,0,1
429,Eldritch,1,1,0,1
430,Titan Souls,1,1,0,1
431,Theatrhythm Final Fantasy: Curtain Call,1,1,0,1
